SampleTimeFine,Roll,Pitch,Yaw
129778,-10.742384,-84.405061,8.909378
129878,-10.647953,-84.31589,8.70608
129978,-10.621941,-84.335391,8.582348
130078,-10.563109,-84.436392,8.474168
130178,-10.419926,-84.594464,8.345038
130278,-10.229379,-84.781575,8.228177
130378,-9.85728,-84.945059,7.974688
130478,-9.159165,-85.039704,7.431242
130578,-8.09802,-85.026355,6.547372
130678,-6.76276,-84.902029,5.396306
130778,-5.274139,-84.70594,4.099452
130878,-3.765615,-84.484755,2.784258
130978,-2.322169,-84.277485,1.537037
131078,-1.026795,-84.097143,0.430409
131178,0.021253,-83.937005,-0.459669
131278,0.696153,-83.785982,-1.027581
131378,1.005508,-83.637697,-1.291128
131478,1.118915,-83.500439,-1.412196
131578,1.204465,-83.39315,-1.53661
131678,1.353606,-83.320391,-1.719639
131778,1.606303,-83.290593,-1.980469
131878,1.947691,-83.306839,-2.299012
131978,2.372346,-83.365745,-2.675509
132078,2.862087,-83.452568,-3.100068
132178,3.384939,-83.551136,-3.544876
132278,3.913434,-83.643942,-3.983221
132378,4.420736,-83.718595,-4.39164
132478,4.903835,-83.776964,-4.769449
132578,5.322929,-83.837057,-5.082885
132678,5.673785,-83.914553,-5.338842
132778,5.936061,-84.018616,-5.523454
132878,6.123209,-84.148655,-5.65508
132978,6.26493,-84.302857,-5.75564
133078,6.379803,-84.469612,-5.838864
133178,6.47129,-84.630106,-5.903801
133278,6.525843,-84.766907,-5.932848
133378,6.518571,-84.87167,-5.906404
133478,6.446668,-84.944784,-5.826563
133578,6.313516,-84.994081,-5.698631
133678,6.157566,-85.035091,-5.556555
133778,6.015528,-85.077249,-5.428022
133878,5.919045,-85.124905,-5.339789
133978,5.892193,-85.172434,-5.306201
134078,5.90939,-85.217653,-5.300297
134178,5.982745,-85.255781,-5.339939
134278,6.09435,-85.288318,-5.415283
134378,6.218122,-85.315767,-5.508681
134478,6.364985,-85.347907,-5.637567
134578,6.527169,-85.391451,-5.791804
134678,6.736837,-85.451029,-5.985335
134778,7.018665,-85.513227,-6.226119
134878,7.351448,-85.561567,-6.481909
134978,7.70816,-85.581726,-6.724489
135078,8.074069,-85.562013,-6.954348
135178,8.43839,-85.505961,-7.187969
135278,8.789472,-85.422,-7.442177
135378,9.125896,-85.313732,-7.745747
135478,9.488701,-85.167008,-8.14439
135578,9.881388,-84.9449,-8.621401
135678,10.1909,-84.606464,-9.051586
135778,10.484279,-84.182993,-9.493701
135878,10.826711,-83.734683,-9.987553
135978,11.111488,-83.308863,-10.383647
136078,11.211525,-82.918657,-10.533223
136178,11.087066,-82.583705,-10.392151
136278,10.963886,-82.353758,-10.179283
136378,10.829231,-82.238788,-9.9483
136478,10.767488,-82.230503,-9.815261
136578,10.944801,-82.335706,-9.910757
136678,11.437994,-82.530936,-10.309438
136778,12.237934,-82.766006,-11.029492
136878,13.233881,-82.981856,-12.001132
136978,14.183066,-83.117607,-13.01999
137078,14.747365,-83.122216,-13.750821
137178,14.751739,-82.992925,-13.979789
137278,14.340288,-82.787057,-13.78854
137378,13.82015,-82.589744,-13.440434
137478,13.432586,-82.461247,-13.171631
137578,13.185779,-82.409271,-12.989883
137678,13.030591,-82.408218,-12.872883
137778,12.936104,-82.439038,-12.809949
137878,12.884608,-82.485336,-12.785677
137978,12.896469,-82.538289,-12.807484
138078,12.957761,-82.606192,-12.846664
138178,13.022001,-82.688685,-12.877424
138278,13.034642,-82.772803,-12.869387
138378,12.946574,-82.850857,-12.790982
138478,12.742767,-82.92051,-12.6309
138578,12.448234,-82.979828,-12.402904
138678,12.06368,-83.03454,-12.085071
138778,11.58247,-83.089155,-11.660485
138878,11.009801,-83.144504,-11.136547
138978,10.400344,-83.20546,-10.566054
139078,9.786779,-83.278726,-9.974339
139178,9.227136,-83.376023,-9.41557
139278,8.704043,-83.500507,-8.875416
139378,8.213712,-83.644049,-8.348722
139478,7.739142,-83.787995,-7.823248
139578,7.263911,-83.915829,-7.29097
139678,6.757879,-84.016634,-6.728202
139778,6.229676,-84.095293,-6.142619
139878,5.675644,-84.164363,-5.531037
139978,5.102284,-84.240006,-4.89769
140078,4.534089,-84.322954,-4.265886
140178,3.97417,-84.399092,-3.639402
140278,3.403345,-84.454856,-2.991319
140378,2.787343,-84.48554,-2.281346
140478,2.103654,-84.48919,-1.489407
140578,1.363385,-84.471584,-0.629079
140678,0.587811,-84.445421,0.27308
140778,-0.190547,-84.414706,1.176939
140878,-0.96599,-84.376922,2.067962
140978,-1.773288,-84.329145,2.969777
141078,-2.626952,-84.259551,3.881956
141178,-3.493308,-84.153644,4.761411
141278,-4.344779,-84.02085,5.588911
141378,-5.145021,-83.893444,6.344432
141478,-5.866713,-83.781391,7.020385
141578,-6.513905,-83.686051,7.6365
141678,-7.058268,-83.586978,8.173329
141778,-7.486337,-83.470388,8.620982
141878,-7.842394,-83.323664,9.027904
141978,-8.176643,-83.141728,9.439053
142078,-8.51045,-82.927747,9.867684
142178,-8.833347,-82.700482,10.292049
142278,-9.154635,-82.495441,10.696174
142378,-9.473727,-82.344246,11.053466
142478,-9.746035,-82.252945,11.277863
142578,-9.957444,-82.204448,11.336773
142678,-10.077,-82.190776,11.218433
142778,-10.069003,-82.21264,10.914168
142878,-10.044391,-82.291575,10.591076
142978,-10.130389,-82.438556,10.411625
143078,-10.308122,-82.6604,10.369109
143178,-10.507622,-82.970989,10.40305
143278,-10.614047,-83.355306,10.44228
143378,-10.4707,-83.755766,10.394286
143478,-9.979424,-84.130964,10.168969
143578,-9.196768,-84.464708,9.78086
143678,-8.282538,-84.730652,9.313383
143778,-7.369861,-84.921739,8.836734
143878,-6.55765,-85.063499,8.386232
143978,-6.009386,-85.181668,8.094868
144078,-5.906184,-85.273386,8.143585
144178,-6.313951,-85.318524,8.606556
144278,-7.021744,-85.3112,9.307915
144378,-7.541485,-85.289653,9.78259
144478,-7.737257,-85.317985,9.91118
144578,-7.787021,-85.424502,9.894858
144678,-7.686274,-85.58496,9.752285
144778,-7.315205,-85.761187,9.378221
144878,-6.616895,-85.927211,8.714515
144978,-5.581954,-86.083221,7.747449
145078,-4.377109,-86.235074,6.627447
145178,-3.268866,-86.39172,5.600257
145278,-2.53808,-86.559809,4.944066
145378,-2.315613,-86.741151,4.791287
145478,-2.559284,-86.929477,5.092995
145578,-3.169137,-87.122929,5.739487
145678,-4.01213,-87.322657,6.58748
145778,-4.965256,-87.523804,7.514412
145878,-5.911329,-87.719714,8.413565
145978,-6.817457,-87.913502,9.270288
146078,-7.774638,-88.107832,10.192995
146178,-8.884473,-88.30036,11.283209
146278,-10.344471,-88.493759,12.735427
146378,-12.33876,-88.690585,14.72835
146478,-15.125423,-88.884636,17.516377
146578,-18.849052,-89.062266,21.240193
146678,-22.969501,-89.204187,25.353608
146778,-26.350478,-89.290876,28.71783
146878,-27.82842,-89.333586,30.185407
146978,-28.07164,-89.355084,30.427975
147078,-27.285187,-89.357997,29.645781
