PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
00825,272836,10.198406,-1.576674,0.934723,-0.014771,0.144272,0.192502,11.271505,-80.705764,-14.180336
00826,273036,9.463688,0.485300,1.050625,0.064429,0.203210,0.121851,10.258843,-80.505194,-13.078906
00827,273236,9.331590,1.905785,0.709330,0.296306,0.039740,-0.075833,11.065045,-80.446579,-13.551853
00828,273436,8.646455,2.760513,0.777957,0.271366,0.071091,-0.275783,13.109295,-80.302908,-15.309538
00829,273636,7.287557,1.548680,1.172063,0.129853,0.102804,-0.332111,15.240842,-80.097477,-17.321227
00830,273836,5.623868,0.356111,1.505578,-0.021140,0.050316,-0.323163,17.159253,-79.940535,-19.293295
00831,274036,4.758430,-0.852367,1.065292,0.055905,-0.081514,-0.289853,19.176909,-79.927398,-21.277054
00832,274236,4.902788,-1.407174,0.776425,0.156744,-0.134878,-0.145145,20.547697,-80.018000,-22.486398
00833,274436,5.636429,-0.592067,0.812429,0.132817,-0.062376,-0.084731,21.369803,-80.051812,-23.166301
00834,274636,6.999451,0.523958,0.823647,0.046309,0.043655,-0.127653,22.097151,-79.952988,-23.850703
00835,274836,8.397250,0.535562,1.021519,-0.026553,0.073428,-0.201002,23.084750,-79.788658,-24.884563
00836,275036,9.456224,0.308053,1.456494,-0.073032,-0.033909,-0.214653,24.342120,-79.727150,-26.247059
00837,275236,10.118141,-0.197482,2.194103,-0.077687,-0.188470,-0.188099,25.850708,-79.833075,-27.870192
00838,275436,10.105211,-0.381751,2.942198,-0.007267,-0.189757,-0.138544,27.189052,-79.958295,-29.237917
00839,275636,9.959599,-0.024273,3.611547,0.076050,-0.110366,-0.099163,28.181456,-80.018638,-30.157084
00840,275836,9.662232,0.199774,3.822821,0.140219,0.030378,-0.109584,28.872263,-79.928781,-30.695418
00841,276036,9.849290,0.240614,3.547613,0.207805,0.133192,-0.120501,29.366828,-79.728584,-30.956002
00842,276236,9.871352,0.772606,3.598293,0.155662,0.231481,-0.126322,29.518336,-79.426351,-30.928788
00843,276436,10.098159,0.772756,3.210073,0.004940,0.216087,-0.095744,29.381054,-79.156402,-30.783460
00844,276636,9.890430,0.595753,1.866565,0.012236,0.116330,-0.105118,29.593518,-78.980696,-30.985739
00845,276836,10.603855,-0.441469,1.340377,0.308755,0.157707,-0.136088,30.170945,-78.746219,-31.213865
00846,277036,11.946506,0.021474,3.921410,0.388326,0.390220,-0.118332,30.080441,-78.291073,-30.667757
00847,277236,14.222197,1.622340,6.505644,-0.146504,0.607043,-0.048396,28.531740,-77.656118,-29.256398
00848,277436,16.247258,3.875564,2.942479,-0.505028,0.557876,0.137420,26.008757,-77.158585,-27.264563
00849,277636,14.539384,3.401304,-3.247725,-0.155667,0.160703,-0.068000,25.784334,-76.958652,-27.217378
00850,277836,11.086236,1.988447,-4.350932,0.063793,-0.170641,-0.232758,27.270963,-77.015582,-28.667999
00851,278036,8.826513,1.766137,-0.840052,-0.072305,-0.443724,-0.151917,28.923398,-77.383701,-30.447226
00852,278236,8.978406,1.245753,-0.798517,-0.090456,-0.462100,-0.050240,30.243851,-77.817757,-31.904981
00853,278436,11.008702,0.725198,0.154172,-0.232564,-0.276455,0.063883,30.440135,-78.130468,-32.377774
00854,278636,11.812099,1.339487,1.063803,-0.391918,-0.156103,0.170578,29.616452,-78.385651,-31.994800
00855,278836,11.415297,1.790448,0.820747,-0.445883,-0.285586,0.175678,29.040604,-78.772194,-31.928157
00856,279036,9.917255,1.004370,0.369808,-0.286252,-0.265762,0.066389,29.140867,-79.078150,-32.364119
00857,279236,8.035279,-0.229038,0.349909,-0.126853,-0.279164,0.073779,29.442299,-79.401608,-32.818490
00858,279436,6.394293,-0.442137,0.818447,-0.033099,-0.261300,0.158741,29.352200,-79.754966,-32.765077
00859,279636,5.362983,-0.134781,0.887866,0.028093,-0.258721,0.259110,28.741103,-80.161522,-32.111459
00860,279836,5.281373,0.355720,0.764956,0.049042,-0.278247,0.333736,27.706848,-80.626528,-31.005210
00861,280036,5.745638,0.742681,0.986302,0.108740,-0.305387,0.302164,26.927082,-81.099451,-30.088942
00862,280236,6.505963,0.844382,1.288430,0.154454,-0.287285,0.200164,26.748125,-81.499669,-29.728587
00863,280436,7.232912,0.854188,1.304776,0.153051,-0.254955,0.100487,27.136994,-81.815040,-29.944099
00864,280636,7.716481,1.089999,1.199146,0.158062,-0.265380,0.030704,28.107419,-82.103374,-30.740971
00865,280836,8.363926,1.234438,1.219338,0.214854,-0.367209,0.019804,29.723999,-82.485073,-32.123557
00866,281036,8.862881,1.423745,2.297444,0.200710,-0.350265,0.027188,31.344528,-82.848547,-33.525288
00867,281236,9.069508,1.452003,3.174963,0.118305,-0.205047,0.039430,32.184978,-83.073385,-34.235290
00868,281436,9.021503,1.329014,3.430379,0.021182,-0.031783,0.069578,31.822373,-83.147165,-33.845398
00869,281636,9.224269,1.137487,3.263559,-0.058919,0.121920,0.111345,30.262884,-83.093362,-32.342434
00870,281836,9.636006,1.134965,2.765950,-0.113636,0.202712,0.131146,28.143083,-82.963615,-30.337879
00871,282036,10.012962,1.263112,1.973913,-0.100169,0.225201,0.111314,26.187373,-82.791737,-28.482481
00872,282236,10.776449,1.536319,1.719894,-0.100347,0.230715,0.072878,24.611521,-82.588066,-27.009466
00873,282436,11.920235,1.593911,2.711323,-0.345163,0.205860,0.062621,23.006482,-82.400225,-25.789308
00874,282636,12.222710,1.589964,4.099444,-0.506061,0.225643,0.052760,21.303636,-82.181953,-24.655934
00875,282836,12.677480,0.661546,4.307046,-0.250105,0.439693,0.082257,19.166148,-81.739631,-22.786522
00876,283036,15.254669,-0.828340,2.489278,0.202544,0.733699,0.191803,16.335657,-81.003679,-19.688810
00877,283236,16.492140,-0.157709,-1.788477,-0.173933,0.710851,0.310754,12.803830,-80.303781,-16.311366
00878,283436,13.050742,1.362409,-5.163317,-0.354679,-0.150087,0.069138,12.170471,-80.489747,-16.080913
00879,283636,11.595421,0.050143,-3.104719,0.062395,-0.649867,-0.183347,14.587518,-81.167796,-18.456459
00880,283836,11.415044,-3.172238,-1.864895,0.189891,-0.543492,-0.030637,16.139123,-81.762058,-19.805156
00881,284036,12.202834,-3.446220,1.464473,0.337562,-0.162239,0.282733,14.682002,-82.030646,-17.942533
00882,284236,10.621189,-0.010704,2.460346,0.377685,0.288144,0.264453,12.498262,-81.783818,-15.299638
00883,284436,9.627384,1.957750,1.106859,0.526348,0.279303,0.075136,12.068803,-81.492296,-14.255838
00884,284636,8.879944,3.119456,0.637073,0.523125,0.131141,-0.150767,13.569378,-81.310284,-15.167000
00885,284836,7.194046,2.647236,0.951048,0.455801,0.077847,-0.315818,16.219682,-81.133679,-17.319916
00886,285036,5.641452,0.999049,0.990156,0.302532,0.038565,-0.336875,18.833512,-80.977709,-19.614639
00887,285236,4.836968,-0.395830,0.927669,0.158528,-0.043284,-0.310021,21.227185,-80.904954,-21.854268
00888,285436,4.861793,-1.122645,0.845590,0.081705,-0.063462,-0.203009,22.846826,-80.887413,-23.399474
00889,285636,5.509857,-0.354850,0.932731,0.111536,-0.016729,-0.133115,23.901997,-80.846792,-24.338489
00890,285836,6.717846,0.725616,0.544778,0.162291,0.025677,-0.165670,25.088511,-80.743606,-25.351810
00891,286036,8.137176,0.842422,0.322786,0.059826,0.026541,-0.207678,26.393383,-80.615242,-26.604364
00892,286236,9.265334,0.574343,1.367967,-0.124175,-0.037140,-0.251947,27.925221,-80.523635,-28.301123
00893,286436,9.741849,0.144109,2.195989,-0.210189,-0.052247,-0.248661,29.356587,-80.441737,-29.996406
00894,286636,9.832051,-0.136327,2.546278,-0.133184,-0.060221,-0.218061,30.696339,-80.378393,-31.509696
00895,286836,9.680193,-0.101637,2.838761,0.009012,-0.081393,-0.214412,32.231710,-80.331416,-33.056433
00896,287036,9.522553,-0.110012,3.190484,0.067325,-0.035985,-0.223223,33.695684,-80.228257,-34.463353
00897,287236,9.961221,-0.055465,3.083730,0.021868,0.069102,-0.205629,34.586731,-80.031678,-35.342317
00898,287436,10.362319,0.665630,3.147387,-0.068697,0.142233,-0.196235,35.021259,-79.770423,-35.863663
00899,287636,10.303841,1.190757,3.109765,-0.180960,0.164507,-0.213448,35.310820,-79.476038,-36.368908
00900,287836,10.084964,0.814673,2.382591,-0.158578,0.067611,-0.238539,36.067813,-79.254109,-37.324114
00901,288036,10.532214,-0.204236,1.110556,0.114874,0.016353,-0.246024,37.318055,-79.071387,-38.463153
00902,288236,11.989831,-0.824490,2.282038,0.364265,0.269663,-0.172773,37.573038,-78.706686,-38.297832
00903,288436,13.363647,0.568853,6.339583,0.050452,0.529853,-0.020374,35.933660,-78.206525,-36.566016
00904,288636,15.017034,3.123122,4.352581,-0.457114,0.501535,0.163865,33.135430,-77.839215,-34.241417
00905,288836,14.884296,4.437420,-1.498144,-0.436407,-0.086594,0.043832,32.686357,-77.950014,-34.293753
00906,289036,12.035981,4.223219,-5.010263,-0.080152,-0.282640,-0.158639,34.155980,-78.121477,-35.889727
00907,289236,9.018558,2.924935,-3.568811,-0.041209,-0.313550,-0.153724,35.797400,-78.316865,-37.614308
00908,289436,8.417296,1.393634,-1.642104,0.022750,-0.352333,-0.091504,37.425213,-78.580812,-39.248662
00909,289636,10.760394,0.367156,0.995097,0.085630,-0.265137,0.058321,38.204410,-78.864358,-39.942670
00910,289836,12.206028,0.456791,2.242963,-0.189619,-0.299544,0.269947,37.830112,-79.327861,-39.782371
00911,290036,12.025986,2.735689,1.048336,-0.380287,-0.250768,0.311371,36.813250,-79.775176,-39.191050
