SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw,Gyr_Z(rad/sec),Heading (rad) 
120278,0.038318,-0.204462,-0.088375,-27.931632,-85.519815,28.561485,-0.001542409,0.498397913
120378,0.035624,-0.189945,-0.086171,-27.993872,-85.637988,28.644185,-0.001503942,0.499841028
120478,0.040974,-0.169884,-0.082999,-28.005444,-85.745063,28.679131,-0.001448582,0.500450836
120578,0.039054,-0.1489,-0.07868,-27.971237,-85.840258,28.667065,-0.001373202,0.500240284
120678,0.027102,-0.124227,-0.079773,-27.84173,-85.923146,28.552585,-0.001392278,0.498242608
120778,0.009973,-0.097407,-0.080125,-27.61206,-85.992384,28.327862,-0.001398422,0.494321192
120878,0.0022,-0.076528,-0.081938,-27.285182,-86.05128,28.001246,-0.001430064,0.488621743
120978,-0.020481,-0.046013,-0.086987,-26.806788,-86.095628,27.509749,-0.001518184,0.48004512
121078,-0.034796,-0.014734,-0.09324,-26.1599,-86.125069,26.841168,-0.001627318,0.468378382
121178,-0.038239,0.00647,-0.097374,-25.394758,-86.14391,26.052102,-0.001699468,0.45460918
121278,-0.021693,0.011628,-0.102779,-24.551434,-86.160505,25.194192,-0.001793802,0.43963865
121378,0.009429,0.002381,-0.109646,-23.660191,-86.182548,24.306142,-0.001913652,0.424142178
121478,0.043884,-0.017357,-0.115865,-22.754853,-86.215333,23.423776,-0.002022192,0.408744891
121578,0.083019,-0.041015,-0.118069,-21.870403,-86.260103,22.584848,-0.002060658,0.394105598
121678,0.113579,-0.058161,-0.121253,-20.975617,-86.313708,21.753149,-0.002116229,0.37959245
121778,0.131256,-0.078106,-0.119407,-20.122936,-86.376702,20.973837,-0.00208401,0.365993456
121878,0.136552,-0.107739,-0.1159,-19.359525,-86.454175,20.287065,-0.002022803,0.354009284
121978,0.136766,-0.135715,-0.112066,-18.682801,-86.545414,19.68732,-0.001955888,0.343543734
122078,0.134817,-0.148151,-0.105227,-18.073457,-86.641622,19.154008,-0.001836527,0.33423744
122178,0.129989,-0.145707,-0.098774,-17.487236,-86.73488,18.641131,-0.001723903,0.325287736
122278,0.10702,-0.132851,-0.09258,-16.903999,-86.819594,18.1181,-0.001615799,0.316160845
122378,0.077562,-0.122839,-0.089011,-16.313528,-86.897769,17.570955,-0.001553509,0.306613165
