time,gx,gy,gz,ax,ay,az,mx,my,mz,p
314736,-0.021755,0.273878,0.484895,-0.051481546,-0.050648351,0.927392784,0.566396,0.580367,-1.399705,1016.549561
314836,-0.030004,0.288378,0.479443,-0.05320299,0.003946289,0.99740701,0.588998,0.58595,-1.408915,1016.549561
314936,-0.02684,0.313353,0.444957,-0.028308969,0.049251443,1.079083196,0.600895,0.584619,-1.405963,1016.549561
315036,-0.006457,0.328082,0.386439,-0.006035464,0.077402371,1.15120732,0.61152,0.568703,-1.390228,1016.549561
315136,0.023694,0.263882,0.328237,-0.005027526,0.083175567,1.17717567,0.606447,0.544933,-1.361884,1016.549561
315236,0.051782,0.129855,0.258127,0.006243814,0.076426082,1.163154021,0.601138,0.512614,-1.321951,1016.549561
315336,0.073624,0.004813,0.173656,0.047642165,0.066810619,1.125753711,0.580718,0.480596,-1.273002,1016.549561
315436,0.085824,-0.059713,0.113694,0.10195299,0.059715979,1.068785979,0.560776,0.442567,-1.223856,1016.549561
315536,0.082279,-0.085182,0.101871,0.137959485,0.061447526,0.992691443,0.533385,0.412653,-1.174807,1016.549561
315636,0.062294,-0.09794,0.109203,0.164742165,0.052973402,0.933735876,0.514136,0.385039,-1.13465,1016.549561
315736,0.041069,-0.088937,0.125345,0.16547134,0.041610825,0.886059794,0.49151,0.367187,-1.099009,1016.549561
315836,0.01702,-0.074282,0.1587,0.150954227,0.025973608,0.837415773,0.489508,0.352506,-1.073706,1016.549561
315936,-0.008449,-0.056947,0.204737,0.14194134,0.011143918,0.795922371,0.480178,0.346253,-1.054996,1016.549561
316036,-0.03069,-0.04459,0.239061,0.136404433,-0.002908866,0.771171237,0.483911,0.340082,-1.042279,1016.549561
316136,-0.043886,-0.019979,0.265932,0.137855258,-0.008447835,0.766229691,0.479834,0.340403,-1.037256,1016.549561
316236,-0.050832,-0.00075,0.284801,0.139891443,-0.007788866,0.774233711,0.486263,0.34018,-1.034755,1016.549561
316336,-0.054336,-0.005529,0.294983,0.130005464,0.006518866,0.809017629,0.483343,0.347846,-1.037374,1016.549561
316436,-0.054174,-0.025025,0.286367,0.126841856,0.025076804,0.859774845,0.487808,0.347726,-1.036373,1016.549561
316536,-0.053322,-0.05847,0.271369,0.13017701,0.024032784,0.905551649,0.480768,0.352626,-1.032123,1016.547302
316636,-0.052271,-0.095441,0.237841,0.136948454,0.018104227,0.931049794,0.475813,0.351283,-1.0337,1016.547302
316736,-0.051124,-0.12956,0.197787,0.143476392,0.012708866,0.924832165,0.462893,0.35901,-1.034323,1016.547302
316836,-0.055458,-0.145069,0.172933,0.139795876,0.00942299,0.909651959,0.46089,0.358021,-1.033874,1016.547302
316936,-0.052461,-0.144193,0.161426,0.133653918,0.00287299,0.909833093,0.450502,0.36284,-1.037148,1016.547302
317036,-0.039085,-0.141386,0.151874,0.124076701,-0.00504433,0.921644433,0.444998,0.364349,-1.035573,1016.547302
317136,-0.02412,-0.153205,0.143922,0.132810825,-0.010527526,0.935009588,0.429976,0.361902,-1.031707,1016.547302
317236,-0.008293,-0.165364,0.132046,0.163731546,-0.010724124,0.951839278,0.423793,0.356509,-1.021467,1016.547302
317336,0.006787,-0.17985,0.121126,0.201036186,-0.013807732,0.965984948,0.407289,0.355605,-1.018024,1016.547302
317436,0.015919,-0.179712,0.1041,0.228214021,-0.01420732,0.970441443,0.404141,0.354745,-1.009554,1016.547302
317536,0.016694,-0.164647,0.077522,0.23950134,-0.013274124,0.960978557,0.395033,0.353529,-1.00211,1016.547302
317636,0.006437,-0.147233,0.062224,0.231200825,-0.013410825,0.934117113,0.397001,0.349962,-1.001288,1016.547302
317736,-0.007736,-0.127184,0.059613,0.205192371,-0.020438351,0.908338557,0.398537,0.357982,-1.00238,1016.547302
317836,-0.015184,-0.109244,0.06744,0.176855361,-0.030542784,0.89683567,0.413757,0.361931,-1.016692,1016.547302
317936,-0.024345,-0.09186,0.07659,0.154713711,-0.032032371,0.894453814,0.419548,0.375545,-1.031524,1016.547302
318036,-0.034235,-0.059978,0.074345,0.147499278,-0.027243196,0.913420722,0.435437,0.387369,-1.053951,1016.547302
318136,-0.047345,-0.039848,0.065438,0.145310619,-0.014428969,0.939818866,0.443334,0.401738,-1.074755,1016.549011
318236,-0.064827,-0.032877,0.04912,0.157846289,-0.001232784,0.987014845,0.458736,0.41459,-1.097631,1016.549011
318336,-0.07907,-0.026399,0.030764,0.183095258,0.003818454,1.046323299,0.469636,0.426967,-1.119535,1016.549011
318436,-0.086067,-0.016195,0.00601,0.212875464,0.008197938,1.102039175,0.481012,0.432337,-1.141294,1016.549011
318536,-0.097051,0.005885,-0.015004,0.238599175,0.009812268,1.141633608,0.482236,0.440349,-1.152408,1016.549011
318636,-0.100941,0.051789,-0.023523,0.256260825,-0.001223918,1.171389485,0.495294,0.442899,-1.157775,1016.549011
318736,-0.101661,0.11652,-0.018528,0.252809897,-0.018579897,1.172926289,0.500349,0.443012,-1.161772,1016.549011
318836,-0.103827,0.184268,-0.011899,0.22887701,-0.025857732,1.156833402,0.519344,0.443379,-1.165239,1016.549011
318936,-0.106189,0.274673,-0.009388,0.221046907,-0.038843814,1.141865979,0.525247,0.443092,-1.161239,1016.549011
319036,-0.10865,0.360817,-0.017928,0.235990619,-0.059938454,1.139958763,0.546086,0.433125,-1.158216,1016.549011
319136,-0.113627,0.426152,-0.022602,0.255083918,-0.074112062,1.15079732,0.562314,0.424387,-1.148122,1016.549011
319236,-0.109157,0.494195,-0.023235,0.289631031,-0.063578763,1.183952268,0.586077,0.414204,-1.1416,1016.549011
319336,-0.109022,0.590265,-0.015474,0.325244845,-0.032960412,1.232874227,0.613207,0.404649,-1.128529,1016.549011
319436,-0.114829,0.691617,0.005739,0.328414948,0.027925567,1.307668866,0.651704,0.38625,-1.111887,1016.549011
319536,-0.120081,0.749394,0.016847,0.277837526,0.116318351,1.415485155,0.683597,0.37357,-1.087446,1016.549011
319636,-0.089678,0.631455,0.023295,0.170031134,0.148531959,1.483428866,0.712768,0.350911,-1.051992,1016.549011
319736,-0.013633,0.354005,0.032957,0.06794866,0.13576433,1.493490412,0.721274,0.322493,-1.00433,1016.549011
319836,0.040699,0.194706,0.051129,0.005426186,0.096463814,1.445209794,0.719006,0.285,-0.941108,1016.549011
319936,0.027805,0.211977,0.174793,-0.026030722,0.052263608,1.318651546,0.689883,0.25102,-0.879742,1016.549011
320036,-0.003287,0.234599,0.369614,-0.051823918,0.02362866,1.181035979,0.661759,0.208602,-0.819807,1016.549011
320136,-0.023346,0.189284,0.530873,-0.034561134,0.015837423,1.067308557,0.618865,0.175301,-0.767941,1016.549011
320236,-0.043869,0.084459,0.575121,0.017072062,0.027258866,0.988886392,0.59355,0.140115,-0.724169,1016.549011
320336,-0.033343,-0.020174,0.501673,0.068150928,0.048275773,0.942270309,0.561964,0.120437,-0.689132,1016.549011
320436,0.002127,-0.09567,0.317352,0.108528144,0.106780619,0.900505567,0.54839,0.093241,-0.659469,1016.549011
320536,0.064409,-0.154876,0.058964,0.119550103,0.199540103,0.870207526,0.536465,0.075351,-0.636846,1016.549011
320636,0.137786,-0.173142,-0.193217,0.102867938,0.300373711,0.834698866,0.540038,0.057361,-0.617217,1016.549011
320736,0.17944,-0.150592,-0.358904,0.056754433,0.381376804,0.783522165,0.541205,0.040125,-0.602061,1016.549011
320836,0.191946,-0.134079,-0.488983,-0.009649588,0.406309381,0.768519794,0.542497,0.030153,-0.592547,1016.549011
320936,0.176219,-0.123641,-0.569356,-0.068654845,0.396378866,0.794568247,0.540831,0.02775,-0.583652,1016.549011
321036,0.139955,-0.115775,-0.538097,-0.100263093,0.346165155,0.838406701,0.539835,0.02231,-0.584432,1016.549011
321136,0.091946,-0.125882,-0.423162,-0.08154134,0.27791701,0.893457938,0.524,0.029281,-0.589105,1016.549011
321236,0.043202,-0.135555,-0.261727,-0.030141237,0.177909175,0.96428866,0.51571,0.035827,-0.597799,1016.549011
321336,0.007305,-0.138307,-0.10192,0.003501649,0.057232784,1.038703608,0.505486,0.049002,-0.608662,1016.549011
321436,0.008064,-0.165026,-0.031551,0.01369866,-0.031746495,1.087070206,0.501238,0.056627,-0.620304,1016.549011
321536,0.035893,-0.219588,-0.025345,0.011303918,-0.067361546,1.088655464,0.485122,0.071111,-0.635616,1016.549011
321636,0.082841,-0.276079,-0.039106,0.024061856,-0.047344536,1.056326082,0.479285,0.077023,-0.642336,1016.549011
321736,0.125794,-0.306142,-0.0445,0.058972784,-0.000626289,1.014581237,0.461615,0.084435,-0.655506,1016.549011
321836,0.156821,-0.306763,-0.041433,0.101406186,0.053175258,0.974732062,0.448598,0.078517,-0.652816,1016.549011
321936,0.172199,-0.288705,-0.062709,0.123280103,0.113363093,0.936370103,0.429142,0.078255,-0.651348,1016.549011
322036,0.168673,-0.255954,-0.106385,0.133643299,0.157987938,0.901225567,0.414164,0.074434,-0.650057,1016.549011
322136,0.156385,-0.207985,-0.148223,0.129972577,0.177010619,0.864105567,0.399204,0.070661,-0.649765,1016.549011
322236,0.138307,-0.159907,-0.178822,0.111953608,0.175972887,0.828315052,0.390109,0.066006,-0.643498,1016.549011
322336,0.120589,-0.135896,-0.188272,0.090099897,0.156655258,0.798522784,0.380753,0.069909,-0.648822,1016.549011
322436,0.106269,-0.125669,-0.18261,0.077082165,0.128079588,0.782550722,0.388763,0.066415,-0.651496,1016.549011
322536,0.100703,-0.124712,-0.170736,0.07932268,0.094820928,0.779702268,0.383634,0.075839,-0.669059,1016.549011
322636,0.09915,-0.134352,-0.153352,0.083800619,0.067934845,0.786631959,0.400925,0.08244,-0.687241,1016.549011
322736,0.098805,-0.146142,-0.120663,0.087624021,0.056872371,0.803677423,0.407853,0.091441,-0.710324,1016.549011
322836,0.09505,-0.16078,-0.078138,0.089506392,0.064162474,0.824174021,0.430827,0.097987,-0.739526,1016.549011
322936,0.083051,-0.172486,-0.039223,0.093809794,0.088454021,0.844552474,0.436296,0.101153,-0.765412,1016.549011
323036,0.064529,-0.194628,-0.012199,0.10035134,0.115889691,0.853679072,0.446248,0.104248,-0.791298,1016.549011
323136,0.03718,-0.220466,-0.000586,0.10901567,0.133637938,0.85448732,0.447225,0.107461,-0.816686,1016.549011
323236,0.01929,-0.228883,-0.004753,0.123557526,0.137492062,0.853853093,0.445928,0.104029,-0.827885,1016.549011
323336,0.006695,-0.21985,-0.014427,0.138191443,0.132221237,0.848160309,0.432743,0.10691,-0.841783,1016.549011
323436,0.004101,-0.202103,-0.020844,0.144841959,0.112251031,0.84392,0.428897,0.10138,-0.850085,1016.549011
323536,0.008809,-0.178866,-0.023834,0.145074124,0.094174227,0.84464,0.413067,0.106381,-0.85536,1016.549011
323636,0.019494,-0.145634,-0.026968,0.151686598,0.084143608,0.852636186,0.406202,0.09983,-0.862215,1016.549011
323736,0.033148,-0.108943,-0.024083,0.157484021,0.088081443,0.872440309,0.395463,0.103547,-0.873561,1016.549011
323836,0.046501,-0.078311,-0.019433,0.171906289,0.102470103,0.89862701,0.396212,0.103691,-0.887081,1016.549011
323936,0.05983,-0.041003,-0.019157,0.203573505,0.123908041,0.937979485,0.392154,0.11379,-0.908617,1016.549011
324036,0.062251,0.020214,-0.014803,0.225830825,0.143972887,0.975005361,0.392987,0.114649,-0.92661,1016.549011
324136,0.05314,0.099483,-0.017807,0.229805876,0.161147835,1.002233093,0.386803,0.12245,-0.94125,1016.549011
324236,0.034065,0.157846,-0.017462,0.217082784,0.172919485,0.998667732,0.391006,0.124933,-0.952643,1016.549011
324336,0.01236,0.173541,-0.009064,0.202808866,0.160389381,0.963891649,0.385741,0.131031,-0.963361,1016.549011
324436,-0.002888,0.172694,-0.020968,0.1883,0.137019897,0.930143918,0.391812,0.131176,-0.968357,1016.549011
324536,0.004199,0.171631,-0.034025,0.191253608,0.104215567,0.933845773,0.38495,0.136534,-0.973603,1016.549011
324636,0.036345,0.193296,-0.034088,0.190043402,0.085154845,0.96829299,0.392903,0.132398,-0.973304,1016.549011
324736,0.077193,0.217835,-0.023012,0.187328041,0.08747701,1.004266598,0.39443,0.129979,-0.97543,1016.549011
324836,0.113505,0.223922,-0.024017,0.192852784,0.106439278,1.031023196,0.404809,0.120179,-0.97241,1016.549011
324936,0.135407,0.207311,-0.05202,0.216708144,0.13667134,1.059038041,0.402774,0.122581,-0.969785,1016.549011
325036,0.143964,0.182271,-0.099101,0.243182474,0.175275773,1.088776804,0.415775,0.113576,-0.973737,1016.549011
325136,0.146451,0.180859,-0.1667,0.273932371,0.212018247,1.121965567,0.422301,0.116085,-0.976107,1016.549011
325236,0.139262,0.22389,-0.22946,0.30218866,0.233270619,1.151994639,0.436791,0.114979,-0.978652,1016.549011
325336,0.133614,0.313618,-0.277547,0.328507835,0.241150515,1.183119897,0.451946,0.124216,-0.988686,1016.549011
325436,0.120941,0.436623,-0.311932,0.361439381,0.227382577,1.225768763,0.474344,0.12431,-0.987654,1016.549011
325536,0.110878,0.600494,-0.32427,0.39059866,0.18717732,1.314222784,0.493736,0.130359,-0.984819,1016.549011
325636,0.108108,0.802654,-0.291344,0.358875052,0.118455052,1.453329794,0.524818,0.128592,-0.968841,1016.549011
325736,0.121588,0.923746,-0.219333,0.290823299,0.068351443,1.559894742,0.54366,0.127763,-0.937296,1016.549011
